Company,Brand / Division,Job Title,City,State,Region,Level,Employment Type,Est. Annual Salary (Low),Est. Annual Salary (High),Est. Hourly (Low),Est. Hourly (High),Key Skills / Focus Areas,Apply / Source URL,Platform,Notes
URBN,Anthropologie,Supply Chain Analyst,Philadelphia,PA,Philadelphia,Mid-Level,Full-Time,$70000,$101000,,,"Inventory planning; vendor management; data analysis; ERP systems","https://www.linkedin.com/jobs/urbn-urban-outfitters-anthropologie-group-free-people-nuuly-jobs-philadelphia-pa",LinkedIn,"Active listing; URBN HQ at Philadelphia Navy Yard (5000 S Broad St)"
URBN,Anthropologie,Product Development Coordinator,Philadelphia,PA,Philadelphia,Entry-Mid,Full-Time,$43000,$62000,,,"Product development; vendor relations; sample management; PLM systems","https://www.linkedin.com/jobs/urbn-urban-outfitters-anthropologie-group-free-people-nuuly-jobs-philadelphia-pa",LinkedIn,"URBN Home Office - Navy Yard, Philadelphia"
URBN,Anthropologie,Product Development Coordinator (variant),Philadelphia,PA,Philadelphia,Entry-Mid,Full-Time,$44000,$65000,,,"Product development; materials sourcing; factory communication","https://www.glassdoor.com/Jobs/URBN-Philadelphia-Jobs-EI_IE2770817.0,4_IL.5,17_IC1152672.htm",Glassdoor,"Multiple PD Coordinator openings listed; confirm exact role on urbn.com/careers"
URBN,Free People / FP Movement,Sr. Production Coordinator,Philadelphia,PA,Philadelphia,Mid-Level,Full-Time,$44000,$64000,,,"Production coordination; on-time delivery tracking; factory allocation; compliance","https://www.linkedin.com/company/urban-outfitters-inc/jobs",LinkedIn,"FP Movement division focus"
URBN,Free People,Temporary Part-Time Product Development & Production Assistant,Philadelphia,PA,Philadelphia,Entry-Level,Part-Time / Contract,$44000,$64000,,,"Production support; sample tracking; vendor communication; admin support","https://www.linkedin.com/jobs/view/urbn-temporary-part-time-product-development-production-assistant-at-urbn-urban-outfitters-anthropologie-group-free-people-nuuly-3069225455",LinkedIn,"Part-time/temporary role; on-site at Navy Yard HQ"
URBN,All Brands,Summer 2026 Supply Chain Internship,Philadelphia,PA,Philadelphia,Internship,Internship,,,,$15,$20,"Supply chain operations; cross-functional collaboration; inventory; demand planning","https://www.urbn.com/internships",URBN Careers,"10-week program June 1–Aug 7 2026; on-site at Philadelphia Navy Yard"
Tapestry,Coach / Kate Spade / Tapestry Corporate,Summer Supply Chain Product Development Procurement & Operations Intern,New York,NY,NYC,Internship,Internship,,,,20,20,"Materials & product development; supplier selection; negotiation; market analysis","https://careers.tapestry.com/job/New-York-Summer-Supply-Chain,-Product-Development,-Procurement-&-Operations-Internships-NY-10001/1345187900/",Tapestry Careers,"10 weeks Jun 2–Aug 7 2026; Hudson Yards NYC; hybrid Tue-Thu in office; $20/hr"
Warby Parker,,Manager Supply Chain Design,New York,NY,NYC,Senior,Full-Time,$92000,$105000,,,"Supply chain network design; manufacturing partnerships; process optimization; cross-functional leadership","https://jobs.generalcatalyst.com/companies/warby-parker/jobs/68103611-manager-supply-chain-design",General Catalyst / LinkedIn,"5+ yrs SC experience required; product strategy team"
Warby Parker,,Supply Chain Operations Manager,New York,NY,NYC,Senior,Full-Time,$92000,$105000,,,"Day-to-day SC operations; vendor management; KPI development; cross-functional execution","https://www.linkedin.com/jobs/view/supply-chain-operations-manager-at-warby-parker-19300393",LinkedIn,"Bachelor's in business/engineering + 5+ yrs SC experience"
G-III Apparel Group,DKNY / Donna Karan / Calvin Klein / Karl Lagerfeld,Senior Production Manager,New York,NY,NYC,Senior,Full-Time,$89000,$121000,,,"Production tracking; factory communication; cost breakdowns; seasonal allocation; compliance; sample management","https://www.linkedin.com/company/g-iii-apparel-group/jobs",LinkedIn,"Brands include DKNY; Karl Lagerfeld Paris; Donna Karan; Calvin Klein"
G-III Apparel Group,All Brands,Jr. Project Manager – Facilities & Store Planning,New York,NY,NYC,Mid-Level,Full-Time,,,,,,"Project management; store planning; facilities coordination; cross-functional collaboration","https://www.giii.com/pages/work-with-us",G-III Careers / LinkedIn,"Operations division; NYC HQ"
G-III Apparel Group,All Brands,Sr. HR Manager – Warehouse Management Training & Development,New York,NY,NYC,Senior,Full-Time,,,,,,"Warehouse operations; training & development; HR management; supply chain workforce","https://www.giii.com/pages/work-with-us",G-III Careers / LinkedIn,"Supply chain-adjacent role within warehouse operations"
PVH Corp,Calvin Klein / Tommy Hilfiger,Operations Manager,New York,NY,NYC,Senior,Full-Time,,,,,,"Supply chain operations; process design; international partner liaising; KPI development; operational workflows","https://pvh.wd1.myworkdayjobs.com/PVH_Careers",PVH Workday Careers,"96+ PVH jobs in NY; verify current openings on Workday portal"
PVH Corp,Calvin Klein / Tommy Hilfiger,Demand Planner,New York,NY,NYC,Mid-Level,Full-Time,,,,,,"Demand forecasting; inventory planning; cross-functional alignment; data analytics; ERP","https://pvh.wd1.myworkdayjobs.com/PVH_Careers",PVH Workday Careers,"Check Workday portal for latest openings"
PVH Corp,Calvin Klein / Tommy Hilfiger,2026 Early Talent Undergraduate Internship – Supply Chain & Production,New York,NY,NYC,Internship,Internship,,,,,,"Supply chain fundamentals; production coordination; merchandising exposure; design liaison","https://careers.pvh.com/jobs/2026-early-talent-undergraduate-internship-program-product-design-tech-design-merchandising-supply-chain-production-new-york-united-states",PVH Careers,"Internship program; NYC; for 2026 undergrad cohort"
